datetime,demand,plant,net_generation,coal,hydro,natural_gas,nuclear,other,solar,wind,total_interchange
20200222T19Z,38586.0,ERCO,43602.0,5846.0,66.0,25242.0,5117.0,41.0,0.0,7291.0,-211.0
20200222T18Z,40343.0,ERCO,41909.0,6572.0,100.0,24673.0,5117.0,38.0,20.0,5391.0,3.0
20200222T17Z,42173.0,ERCO,39416.0,5239.0,66.0,23199.0,5117.0,29.0,340.0,5426.0,1.0
20200222T16Z,43653.0,ERCO,38695.0,5027.0,66.0,22136.0,5117.0,24.0,924.0,5402.0,1.0
20200222T15Z,44462.0,ERCO,38869.0,5195.0,66.0,22019.0,5117.0,24.0,1331.0,5116.0,-32.0
20200222T14Z,44106.0,ERCO,39825.0,5426.0,74.0,22576.0,5117.0,23.0,1532.0,5075.0,63.0
20200222T13Z,42869.0,ERCO,41131.0,5474.0,74.0,23587.0,5117.0,22.0,1812.0,5044.0,-45.0
20200222T12Z,41077.0,ERCO,42920.0,6274.0,108.0,24757.0,5117.0,20.0,1788.0,4854.0,62.0
20200222T11Z,39815.0,ERCO,44892.0,7487.0,108.0,25635.0,5117.0,20.0,1699.0,4825.0,79.0
20200222T10Z,39383.0,ERCO,47289.0,8282.0,72.0,27482.0,5117.0,26.0,1327.0,4982.0,245.0
20200222T09Z,39358.0,ERCO,49596.0,8941.0,48.0,29482.0,5117.0,28.0,924.0,5055.0,-409.0
20200222T08Z,39641.0,ERCO,51941.0,8999.0,48.0,31448.0,5116.0,31.0,489.0,5808.0,-883.0
20200222T07Z,40167.0,ERCO,53095.0,8920.0,50.0,33148.0,5116.0,30.0,38.0,5792.0,409.0
20200222T06Z,41173.0,ERCO,51543.0,8770.0,50.0,31757.0,5116.0,32.0,0.0,5819.0,455.0
20200222T05Z,42526.0,ERCO,48332.0,9042.0,49.0,28179.0,5116.0,28.0,0.0,5921.0,288.0
20200222T04Z,43681.0,ERCO,45264.0,8737.0,49.0,25385.0,5115.0,27.0,0.0,5953.0,209.0
20200222T03Z,44029.0,ERCO,43399.0,7992.0,49.0,23830.0,5115.0,32.0,0.0,6381.0,246.0
20200222T02Z,43635.0,ERCO,42624.0,7930.0,49.0,23107.0,5114.0,35.0,0.0,6388.0,162.0
20200222T01Z,42142.0,ERCO,42417.0,8072.0,49.0,22519.0,5114.0,36.0,0.0,6627.0,111.0
20200222T00Z,39626.0,ERCO,42603.0,7877.0,49.0,22267.0,5114.0,31.0,0.0,7265.0,111.0
20200221T23Z,38691.0,ERCO,43520.0,7642.0,46.0,22446.0,5114.0,34.0,0.0,8237.0,110.0
20200221T22Z,38867.0,ERCO,45401.0,7924.0,47.0,22999.0,5114.0,30.0,0.0,9286.0,100.0
20200221T21Z,39824.0,ERCO,47522.0,8705.0,70.0,22852.0,5114.0,41.0,0.0,10739.0,90.0
20200221T20Z,41163.0,ERCO,48619.0,8916.0,70.0,22785.0,5114.0,47.0,0.0,11687.0,50.0
20200221T19Z,42857.0,ERCO,48784.0,8531.0,69.0,22710.0,5115.0,41.0,0.0,12318.0,92.0
