datetime,forecast_demand,plant
20220115T10Z,36885,ERCO
20220115T09Z,36611,ERCO
20220115T08Z,36434,ERCO
20220115T07Z,36816,ERCO
20220115T06Z,37191,ERCO
20220115T05Z,38435,ERCO
20220115T04Z,39493,ERCO
20220115T03Z,40610,ERCO
20220115T02Z,41549,ERCO
20220115T01Z,42051,ERCO
20220115T00Z,40833,ERCO
20220114T23Z,40397,ERCO
20220114T22Z,40354,ERCO
20220114T21Z,40531,ERCO
20220114T20Z,40780,ERCO
20220114T19Z,41151,ERCO
20220114T18Z,41902,ERCO
20220114T17Z,42865,ERCO
20220114T16Z,43965,ERCO
20220114T15Z,45217,ERCO
20220114T14Z,45825,ERCO
20220114T13Z,44008,ERCO
20220114T12Z,40214,ERCO
20220114T11Z,37764,ERCO
20220114T10Z,36667,ERCO
20220114T09Z,36340,ERCO
20220114T08Z,36405,ERCO
20220114T07Z,36959,ERCO
20220114T06Z,37949,ERCO
20220114T05Z,39305,ERCO
20220114T04Z,40564,ERCO
20220114T03Z,41367,ERCO
20220114T02Z,41627,ERCO
20220114T01Z,41218,ERCO
20220114T00Z,39296,ERCO
20220113T23Z,38670,ERCO
20220113T22Z,38719,ERCO
20220113T21Z,39252,ERCO
20220113T20Z,39928,ERCO
20220113T19Z,40721,ERCO
20220113T18Z,41895,ERCO
20220113T17Z,43333,ERCO
20220113T16Z,45007,ERCO
20220113T15Z,46903,ERCO
20220113T14Z,48029,ERCO
20220113T13Z,46434,ERCO
20220113T12Z,42643,ERCO
20220113T11Z,40114,ERCO
20220113T10Z,38978,ERCO
20220113T09Z,38606,ERCO
20220113T08Z,38621,ERCO
20220113T07Z,39047,ERCO
20220113T06Z,39758,ERCO
20220113T05Z,41333,ERCO
20220113T04Z,42887,ERCO
20220113T03Z,43810,ERCO
20220113T02Z,43935,ERCO
20220113T01Z,43303,ERCO
20220113T00Z,40553,ERCO
20220112T23Z,39167,ERCO
20220112T22Z,38929,ERCO
20220112T21Z,39588,ERCO
20220112T20Z,40611,ERCO
20220112T19Z,41802,ERCO
20220112T18Z,43293,ERCO
20220112T17Z,44895,ERCO
20220112T16Z,46615,ERCO
20220112T15Z,48436,ERCO
20220112T14Z,49473,ERCO
20220112T13Z,47325,ERCO
20220112T12Z,42813,ERCO
20220112T11Z,39780,ERCO
20220112T10Z,38405,ERCO
20220112T09Z,37935,ERCO
20220112T08Z,38336,ERCO
20220112T07Z,39309,ERCO
20220112T06Z,40881,ERCO
20220112T05Z,42709,ERCO
20220112T04Z,44766,ERCO
20220112T03Z,45975,ERCO
20220112T02Z,46366,ERCO
20220112T01Z,46133,ERCO
20220112T00Z,43786,ERCO
20220111T23Z,42162,ERCO
20220111T22Z,41845,ERCO
20220111T21Z,42461,ERCO
20220111T20Z,43455,ERCO
20220111T19Z,44631,ERCO
20220111T18Z,46102,ERCO
20220111T17Z,47724,ERCO
20220111T16Z,49388,ERCO
20220111T15Z,51132,ERCO
20220111T14Z,52220,ERCO
20220111T13Z,50375,ERCO
20220111T12Z,46111,ERCO
20220111T11Z,43186,ERCO
20220111T10Z,41788,ERCO
20220111T09Z,41194,ERCO
20220111T08Z,41256,ERCO
20220111T07Z,41750,ERCO
20220111T06Z,43276,ERCO
20220111T05Z,45270,ERCO
20220111T04Z,47306,ERCO
20220111T03Z,48259,ERCO
20220111T02Z,48304,ERCO
20220111T01Z,47601,ERCO
20220111T00Z,44583,ERCO
20220110T23Z,42921,ERCO
20220110T22Z,42574,ERCO
20220110T21Z,43233,ERCO
20220110T20Z,44244,ERCO
20220110T19Z,45445,ERCO
20220110T18Z,46937,ERCO
20220110T17Z,48422,ERCO
20220110T16Z,49913,ERCO
20220110T15Z,51357,ERCO
20220110T14Z,52024,ERCO
20220110T13Z,49710,ERCO
20220110T12Z,45075,ERCO
20220110T11Z,41839,ERCO
20220110T10Z,40218,ERCO
20220110T09Z,39508,ERCO
20220110T08Z,39273,ERCO
20220110T07Z,39593,ERCO
20220110T06Z,39476,ERCO
20220110T05Z,41261,ERCO
20220110T04Z,42814,ERCO
20220110T03Z,43933,ERCO
20220110T02Z,44505,ERCO
20220110T01Z,44599,ERCO
20220110T00Z,42668,ERCO
20220109T23Z,41598,ERCO
20220109T22Z,41479,ERCO
20220109T21Z,41690,ERCO
20220109T20Z,41915,ERCO
20220109T19Z,42062,ERCO
20220109T18Z,41842,ERCO
20220109T17Z,41295,ERCO
20220109T16Z,40234,ERCO
20220109T15Z,38642,ERCO
20220109T14Z,36995,ERCO
20220109T13Z,35609,ERCO
20220109T12Z,34640,ERCO
20220109T11Z,34319,ERCO
20220109T10Z,34468,ERCO
20220109T09Z,34853,ERCO
20220109T08Z,35720,ERCO
20220109T07Z,36989,ERCO
20220109T06Z,38037,ERCO
20220109T05Z,39436,ERCO
20220109T04Z,40723,ERCO
20220109T03Z,41641,ERCO
20220109T02Z,42309,ERCO
20220109T01Z,42677,ERCO
20220109T00Z,41882,ERCO
20220108T23Z,41684,ERCO
20220108T22Z,41889,ERCO
20220108T21Z,41957,ERCO
20220108T20Z,42073,ERCO
20220108T19Z,42269,ERCO
20220108T18Z,42372,ERCO
20220108T17Z,42336,ERCO
20220108T16Z,41929,ERCO
20220108T15Z,41090,ERCO
20220108T14Z,39882,ERCO
20220108T13Z,38599,ERCO
20220108T12Z,37634,ERCO
20220108T11Z,37191,ERCO
20220108T10Z,37148,ERCO
20220108T09Z,37455,ERCO
20220108T08Z,38552,ERCO
20220108T07Z,39988,ERCO
20220108T06Z,41467,ERCO
20220108T05Z,43533,ERCO
20220108T04Z,45489,ERCO
20220108T03Z,46647,ERCO
20220108T02Z,47167,ERCO
20220108T01Z,47137,ERCO
20220108T00Z,45106,ERCO
20220107T23Z,44000,ERCO
20220107T22Z,43938,ERCO
20220107T21Z,44759,ERCO
20220107T20Z,45954,ERCO
20220107T19Z,47320,ERCO
20220107T18Z,49215,ERCO
20220107T17Z,51208,ERCO
20220107T16Z,53221,ERCO
20220107T15Z,55341,ERCO
20220107T14Z,56580,ERCO
20220107T13Z,54578,ERCO
20220107T12Z,50038,ERCO
20220107T11Z,46794,ERCO
20220107T10Z,45119,ERCO
20220107T09Z,44356,ERCO
20220107T08Z,44460,ERCO
20220107T07Z,45030,ERCO
20220107T06Z,47034,ERCO
20220107T05Z,48885,ERCO
20220107T04Z,50844,ERCO
20220107T03Z,51697,ERCO
20220107T02Z,51678,ERCO
20220107T01Z,50880,ERCO
20220107T00Z,47833,ERCO
20220106T23Z,46158,ERCO
20220106T22Z,45719,ERCO
20220106T21Z,46207,ERCO
20220106T20Z,46957,ERCO
20220106T19Z,47779,ERCO
20220106T18Z,48635,ERCO
20220106T17Z,49202,ERCO
20220106T16Z,49536,ERCO
20220106T15Z,49898,ERCO
20220106T14Z,49852,ERCO
20220106T13Z,47264,ERCO
20220106T12Z,42725,ERCO
20220106T11Z,39781,ERCO
20220106T10Z,38435,ERCO
20220106T09Z,38040,ERCO
20220106T08Z,38076,ERCO
20220106T07Z,38656,ERCO
20220106T06Z,39420,ERCO
20220106T05Z,41262,ERCO
20220106T04Z,43087,ERCO
20220106T03Z,44263,ERCO
20220106T02Z,44668,ERCO
20220106T01Z,44379,ERCO
20220106T00Z,42049,ERCO
20220105T23Z,40954,ERCO
20220105T22Z,40744,ERCO
20220105T21Z,41076,ERCO
20220105T20Z,41539,ERCO
20220105T19Z,42126,ERCO
20220105T18Z,42953,ERCO
20220105T17Z,43778,ERCO
20220105T16Z,44625,ERCO
20220105T15Z,45582,ERCO
20220105T14Z,46194,ERCO
20220105T13Z,44214,ERCO
20220105T12Z,40148,ERCO
20220105T11Z,37623,ERCO
20220105T10Z,36584,ERCO
20220105T09Z,36429,ERCO
20220105T08Z,36725,ERCO
20220105T07Z,37579,ERCO
20220105T06Z,39428,ERCO
20220105T05Z,41246,ERCO
20220105T04Z,43295,ERCO
20220105T03Z,44581,ERCO
20220105T02Z,44938,ERCO
20220105T01Z,44542,ERCO
20220105T00Z,41630,ERCO
20220104T23Z,40123,ERCO
20220104T22Z,39976,ERCO
20220104T21Z,40827,ERCO
20220104T20Z,41984,ERCO
20220104T19Z,43265,ERCO
20220104T18Z,45083,ERCO
20220104T17Z,47426,ERCO
20220104T16Z,50211,ERCO
20220104T15Z,53385,ERCO
20220104T14Z,55194,ERCO
20220104T13Z,52586,ERCO
20220104T12Z,46876,ERCO
20220104T11Z,42786,ERCO
20220104T10Z,40580,ERCO
20220104T09Z,39460,ERCO
20220104T08Z,40035,ERCO
20220104T07Z,41149,ERCO
20220104T06Z,44663,ERCO
20220104T05Z,47157,ERCO
20220104T04Z,49752,ERCO
20220104T03Z,50602,ERCO
20220104T02Z,50456,ERCO
20220104T01Z,49475,ERCO
20220104T00Z,45714,ERCO
20220103T23Z,43700,ERCO
20220103T22Z,43448,ERCO
20220103T21Z,44572,ERCO
20220103T20Z,46274,ERCO
20220103T19Z,48209,ERCO
20220103T18Z,50536,ERCO
20220103T17Z,53169,ERCO
20220103T16Z,56094,ERCO
20220103T15Z,59134,ERCO
20220103T14Z,60591,ERCO
20220103T13Z,57897,ERCO
20220103T12Z,52438,ERCO
20220103T11Z,48376,ERCO
20220103T10Z,46064,ERCO
20220103T09Z,44799,ERCO
20220103T08Z,44166,ERCO
20220103T07Z,44051,ERCO
20220103T06Z,48180,ERCO
20220103T05Z,50125,ERCO
20220103T04Z,51550,ERCO
20220103T03Z,51860,ERCO
20220103T02Z,51674,ERCO
20220103T01Z,51144,ERCO
20220103T00Z,48548,ERCO
20220102T23Z,47327,ERCO
20220102T22Z,47457,ERCO
20220102T21Z,48021,ERCO
20220102T20Z,48607,ERCO
20220102T19Z,49540,ERCO
20220102T18Z,49583,ERCO
20220102T17Z,49203,ERCO
20220102T16Z,47759,ERCO
20220102T15Z,45115,ERCO
20220102T14Z,42213,ERCO
20220102T13Z,40271,ERCO
20220102T12Z,39388,ERCO
20220102T11Z,38824,ERCO
20220102T10Z,38355,ERCO
20220102T09Z,38665,ERCO
20220102T08Z,39371,ERCO
20220102T07Z,40512,ERCO
20220102T06Z,38216,ERCO
20220102T05Z,39373,ERCO
20220102T04Z,40384,ERCO
20220102T03Z,40987,ERCO
20220102T02Z,41500,ERCO
20220102T01Z,41980,ERCO
20220102T00Z,41141,ERCO
20220101T23Z,40468,ERCO
20220101T22Z,41007,ERCO
20220101T21Z,41424,ERCO
20220101T20Z,41193,ERCO
20220101T19Z,40721,ERCO
20220101T18Z,39688,ERCO
20220101T17Z,38564,ERCO
20220101T16Z,37141,ERCO
